[00:00:00.000 --> 00:00:06.660]  Hi Lam.
[00:00:07.660 --> 00:00:12.660]  further back
[00:00:12.660 --> 00:00:19.660]  Ich muss hier verpasst.
[00:00:23.660 --> 00:00:26.660]  Er interessiert es, dieses Spielzeug.
[00:00:26.660 --> 00:00:29.660]  Ja!
[00:00:32.659 --> 00:00:34.659]  Meinachten!
[00:00:34.659 --> 00:00:41.659]  Wir haben uns so viele verschiedene Spielzeugen als das.
[00:00:41.659 --> 00:00:43.659]  Alle Anzels.
[00:00:43.659 --> 00:00:45.659]  So viele andere.
[00:00:45.659 --> 00:00:47.659]  Musical.
[00:00:47.659 --> 00:00:49.659]  Gut.
[00:00:50.659 --> 00:00:53.659]  Die Tochter guckt ja bestimmt Fernseh, oder?
[00:00:53.659 --> 00:00:55.659]  Guckt ihr schon Fernseh?
[00:00:55.659 --> 00:00:56.659]  Nein, nein.
[00:00:56.659 --> 00:01:00.659]  Ja, wenn die Tochter ist er da im Zimmer.
[00:01:00.659 --> 00:01:01.659]  Ja.
[00:01:01.659 --> 00:01:05.659]  Muss mal gucken, dass nicht zu viel ist für ihn.
[00:01:05.659 --> 00:01:07.659]  Gel.
[00:01:07.659 --> 00:01:09.659]  Weil du guckst ja mit.
[00:01:10.659 --> 00:01:13.659]  Naja, du lässt dir das nicht hingehen.
[00:01:17.659 --> 00:01:22.659]  Da fährt er Kaprums ein bisschen anscheitend.
[00:01:22.659 --> 00:01:24.659]  Nein.
[00:01:24.659 --> 00:01:26.659]  Das ist zu viel.
[00:01:26.659 --> 00:01:27.659]  Das ist gut.
[00:01:27.659 --> 00:01:29.659]  Kein Mädchen.
[00:01:29.659 --> 00:01:32.659]  Und drei Jahren.
[00:01:32.659 --> 00:01:35.659]  Nein.
[00:01:35.659 --> 00:01:37.659]  Weil gehieren.
[00:01:37.659 --> 00:01:42.659]  Kann sich nicht gut entwickeln, wenn ein Kind guckt.
[00:01:42.659 --> 00:01:44.659]  Ja, muss.
[00:01:44.659 --> 00:01:48.659]  Kein Handy, kein Tablet, kein Fernsehen.
[00:01:48.659 --> 00:01:50.659]  Ja, soll ein Ticken.
[00:01:50.659 --> 00:01:52.659]  Ja, normale, wie es nicht so ist.
[00:01:52.659 --> 00:01:55.659]  Ja, oder ein Spiel in die Terran.
[00:01:55.659 --> 00:02:00.659]  Wir sehen jetzt Kinder, die Handy uns so hatten.
[00:02:00.659 --> 00:02:03.659]  Und sehen sie in der Schule.
[00:02:03.659 --> 00:02:05.659]  Und es ist Katastrophe.
[00:02:05.659 --> 00:02:08.659]  Das wissen wir jetzt erst.
[00:02:08.659 --> 00:02:10.659]  Gel.
[00:02:15.659 --> 00:02:20.659]  Weil wir zusammen die Hunde spielen, zum Beispiel Fänzen.
[00:02:20.659 --> 00:02:28.659]  Dann muss man auszahlen und sitzen.
[00:02:28.659 --> 00:02:31.659]  Ja, zum Beispiel nicht spielst du in die Lande.
[00:02:31.659 --> 00:02:32.659]  Ja.
[00:02:32.659 --> 00:02:35.659]  Zum Beispiel in der Lande Ziemann.
[00:02:35.659 --> 00:02:36.659]  Ja.
[00:02:36.659 --> 00:02:40.659]  Es soll nicht sehen.
[00:02:40.659 --> 00:02:42.659]  Okay.
[00:02:42.659 --> 00:02:45.659]  Oder zum Beispiel in der Lande der Seite.
[00:02:45.659 --> 00:02:46.659]  Ja.
[00:02:46.659 --> 00:03:01.659]  Und auch nicht zum Beispiel Spielen hinstellen.
[00:03:01.659 --> 00:03:04.659]  Manche Spielen hinstellen.
[00:03:04.659 --> 00:03:05.659]  In der Lande.
[00:03:05.659 --> 00:03:06.659]  So was.
[00:03:06.659 --> 00:03:08.659]  So was.
[00:03:08.659 --> 00:03:09.659]  So was.
[00:03:09.659 --> 00:03:12.659]  So was.
[00:03:12.659 --> 00:03:14.659]  So was.
[00:03:14.659 --> 00:03:15.659]  So was.
[00:03:15.659 --> 00:03:16.659]  Über dich.
[00:03:16.659 --> 00:03:19.659]  Kuck.
[00:03:19.659 --> 00:03:20.659]  Postalt.
[00:03:20.659 --> 00:03:22.659]  Das da?
[00:03:22.659 --> 00:03:23.659]  Nein.
[00:03:23.659 --> 00:03:27.659]  Er hat Spielspannung in den Beim.
[00:03:27.659 --> 00:03:29.659]  Okay.
[00:03:29.659 --> 00:03:30.659]  Gel.
[00:03:30.659 --> 00:03:32.659]  Viel zu viel Spannung.
